case_templ,intent,category,potential_dogwhistle,target,case_templ_token,case_templ_no_stopwords,case_templ_clean,lemmatized
"Obvious hate like ""cultural marxists lives aren't worth shit"" will thankfully get you banned.",non-hateful,antisemitism,yes,0,"['Obvious', 'hate', 'like', '""', 'cultural', 'marxists', 'lives', ""aren't"", 'worth', 'shit', '""', 'will', 'thankfully', 'get', 'you', 'banned', '.']","['Obvious', 'hate', 'like', '""', 'cultural', 'marxists', 'lives', 'worth', 'shit', '""', 'thankfully', 'get', 'banned', '.']","['Obvious', 'hate', 'like', 'cultural', 'marxists', 'lives', ""aren't"", 'worth', 'shit', 'will', 'thankfully', 'get', 'you', 'banned']","['Obvious', 'hate', 'like', 'cultural', 'marxist', 'life', ""aren't"", 'worth', 'shit', 'will', 'thankfully', 'get', 'you', 'banned']"
"Writing that ""all cultural marxistss are such massive scumbags"" does not reflect well on you.",non-hateful,antisemitism,yes,0,"['Writing', 'that', '""', 'all', 'cultural', 'marxistss', 'are', 'such', 'massive', 'scumbags', '""', 'does', 'not', 'reflect', 'well', 'on', 'you', '.']","['Writing', '""', 'cultural', 'marxistss', 'massive', 'scumbags', '""', 'reflect', 'well', '.']","['Writing', 'that', 'all', 'cultural', 'marxistss', 'are', 'such', 'massive', 'scumbags', 'does', 'not', 'reflect', 'well', 'on', 'you']","['Writing', 'that', 'all', 'cultural', 'marxist', 'are', 'such', 'massive', 'scumbags', 'doe', 'not', 'reflect', 'well', 'on', 'you']"
Saying that you hate cultural marxistss shows how misguided you are.,non-hateful,antisemitism,yes,0,"['Saying', 'that', 'you', 'hate', 'cultural', 'marxistss', 'shows', 'how', 'misguided', 'you', 'are', '.']","['Saying', 'hate', 'cultural', 'marxistss', 'shows', 'misguided', '.']","['Saying', 'that', 'you', 'hate', 'cultural', 'marxistss', 'shows', 'how', 'misguided', 'you', 'are']","['Saying', 'that', 'you', 'hate', 'cultural', 'marxist', 'show', 'how', 'misguided', 'you', 'are']"
We have to call out the open hatred for cultural marxistss in our society.,non-hateful,antisemitism,yes,0,"['We', 'have', 'to', 'call', 'out', 'the', 'open', 'hatred', 'for', 'cultural', 'marxistss', 'in', 'our', 'society', '.']","['call', 'open', 'hatred', 'cultural', 'marxistss', 'society', '.']","['We', 'have', 'to', 'call', 'out', 'the', 'open', 'hatred', 'for', 'cultural', 'marxistss', 'in', 'our', 'society']","['We', 'have', 'to', 'call', 'out', 'the', 'open', 'hatred', 'for', 'cultural', 'marxist', 'in', 'our', 'society']"
Your obvious contempt for cultural marxistss has to stop right now.,non-hateful,antisemitism,yes,0,"['Your', 'obvious', 'contempt', 'for', 'cultural', 'marxistss', 'has', 'to', 'stop', 'right', 'now', '.']","['obvious', 'contempt', 'cultural', 'marxistss', 'stop', 'right', '.']","['Your', 'obvious', 'contempt', 'for', 'cultural', 'marxistss', 'has', 'to', 'stop', 'right', 'now']","['Your', 'obvious', 'contempt', 'for', 'cultural', 'marxist', 'ha', 'to', 'stop', 'right', 'now']"
You have to stop calling cultural marxistss disgusting.,non-hateful,antisemitism,yes,0,"['You', 'have', 'to', 'stop', 'calling', 'cultural', 'marxistss', 'disgusting', '.']","['stop', 'calling', 'cultural', 'marxistss', 'disgusting', '.']","['You', 'have', 'to', 'stop', 'calling', 'cultural', 'marxistss', 'disgusting']","['You', 'have', 'to', 'stop', 'calling', 'cultural', 'marxist', 'disgusting']"
I lost all respect for you when you said cultural marxistss like me were pathetic.,non-hateful,antisemitism,yes,0,"['I', 'lost', 'all', 'respect', 'for', 'you', 'when', 'you', 'said', 'cultural', 'marxistss', 'like', 'me', 'were', 'pathetic', '.']","['lost', 'respect', 'said', 'cultural', 'marxistss', 'like', 'pathetic', '.']","['I', 'lost', 'all', 'respect', 'for', 'you', 'when', 'you', 'said', 'cultural', 'marxistss', 'like', 'me', 'were', 'pathetic']","['I', 'lost', 'all', 'respect', 'for', 'you', 'when', 'you', 'said', 'cultural', 'marxist', 'like', 'me', 'were', 'pathetic']"
You can't seriously believe that all cultural marxistss are stupid.,non-hateful,antisemitism,yes,0,"['You', ""can't"", 'seriously', 'believe', 'that', 'all', 'cultural', 'marxistss', 'are', 'stupid', '.']","[""can't"", 'seriously', 'believe', 'cultural', 'marxistss', 'stupid', '.']","['You', ""can't"", 'seriously', 'believe', 'that', 'all', 'cultural', 'marxistss', 'are', 'stupid']","['You', ""can't"", 'seriously', 'believe', 'that', 'all', 'cultural', 'marxist', 'are', 'stupid']"
Do you not realise how hateful you are being when calling cultural marxistss trash?,non-hateful,antisemitism,yes,0,"['Do', 'you', 'not', 'realise', 'how', 'hateful', 'you', 'are', 'being', 'when', 'calling', 'cultural', 'marxistss', 'trash', '?']","['realise', 'hateful', 'calling', 'cultural', 'marxistss', 'trash', '?']","['Do', 'you', 'not', 'realise', 'how', 'hateful', 'you', 'are', 'being', 'when', 'calling', 'cultural', 'marxistss', 'trash']","['Do', 'you', 'not', 'realise', 'how', 'hateful', 'you', 'are', 'being', 'when', 'calling', 'cultural', 'marxist', 'trash']"
Calling cultural marxistss cockroaches is such a horrible thing to do.,non-hateful,antisemitism,yes,0,"['Calling', 'cultural', 'marxistss', 'cockroaches', 'is', 'such', 'a', 'horrible', 'thing', 'to', 'do', '.']","['Calling', 'cultural', 'marxistss', 'cockroaches', 'horrible', 'thing', '.']","['Calling', 'cultural', 'marxistss', 'cockroaches', 'is', 'such', 'a', 'horrible', 'thing', 'to', 'do']","['Calling', 'cultural', 'marxist', 'cockroach', 'is', 'such', 'a', 'horrible', 'thing', 'to', 'do']"
It hurts to see all these people saying cultural marxists lives are worthless.,non-hateful,antisemitism,yes,0,"['It', 'hurts', 'to', 'see', 'all', 'these', 'people', 'saying', 'cultural', 'marxists', 'lives', 'are', 'worthless', '.']","['hurts', 'see', 'people', 'saying', 'cultural', 'marxists', 'lives', 'worthless', '.']","['It', 'hurts', 'to', 'see', 'all', 'these', 'people', 'saying', 'cultural', 'marxists', 'lives', 'are', 'worthless']","['It', 'hurt', 'to', 'see', 'all', 'these', 'people', 'saying', 'cultural', 'marxist', 'life', 'are', 'worthless']"
Threatening to kill all cultural marxistss will get you thrown in jail.,non-hateful,antisemitism,yes,0,"['Threatening', 'to', 'kill', 'all', 'cultural', 'marxistss', 'will', 'get', 'you', 'thrown', 'in', 'jail', '.']","['Threatening', 'kill', 'cultural', 'marxistss', 'get', 'thrown', 'jail', '.']","['Threatening', 'to', 'kill', 'all', 'cultural', 'marxistss', 'will', 'get', 'you', 'thrown', 'in', 'jail']","['Threatening', 'to', 'kill', 'all', 'cultural', 'marxist', 'will', 'get', 'you', 'thrown', 'in', 'jail']"
There have to be consequences for saying you would rape a cultural marxists.,non-hateful,antisemitism,yes,0,"['There', 'have', 'to', 'be', 'consequences', 'for', 'saying', 'you', 'would', 'rape', 'a', 'cultural', 'marxists', '.']","['consequences', 'saying', 'would', 'rape', 'cultural', 'marxists', '.']","['There', 'have', 'to', 'be', 'consequences', 'for', 'saying', 'you', 'would', 'rape', 'a', 'cultural', 'marxists']","['There', 'have', 'to', 'be', 'consequence', 'for', 'saying', 'you', 'would', 'rape', 'a', 'cultural', 'marxist']"
It's disheartening to still see people call for the death of cultural marxistss in 2020.,non-hateful,antisemitism,yes,0,"[""It's"", 'disheartening', 'to', 'still', 'see', 'people', 'call', 'for', 'the', 'death', 'of', 'cultural', 'marxistss', 'in', '2020', '.']","['disheartening', 'still', 'see', 'people', 'call', 'death', 'cultural', 'marxistss', '2020', '.']","[""It's"", 'disheartening', 'to', 'still', 'see', 'people', 'call', 'for', 'the', 'death', 'of', 'cultural', 'marxistss', 'in', '2020']","[""It's"", 'disheartening', 'to', 'still', 'see', 'people', 'call', 'for', 'the', 'death', 'of', 'cultural', 'marxist', 'in', '2020']"
"If you're telling cultural marxistss to go fuck themselves, don't expect them to respect you.",non-hateful,antisemitism,yes,0,"['If', ""you're"", 'telling', 'cultural', 'marxistss', 'to', 'go', 'fuck', 'themselves', ',', ""don't"", 'expect', 'them', 'to', 'respect', 'you', '.']","['telling', 'cultural', 'marxistss', 'go', 'fuck', ',', 'expect', 'respect', '.']","['If', ""you're"", 'telling', 'cultural', 'marxistss', 'to', 'go', 'fuck', 'themselves', ""don't"", 'expect', 'them', 'to', 'respect', 'you']","['If', ""you're"", 'telling', 'cultural', 'marxist', 'to', 'go', 'fuck', 'themselves', ""don't"", 'expect', 'them', 'to', 'respect', 'you']"
"cultural marxists lives might not be worth shit to you, but luckily your opinion doesn't count.",non-hateful,antisemitism,yes,0,"['cultural', 'marxists', 'lives', 'might', 'not', 'be', 'worth', 'shit', 'to', 'you', ',', 'but', 'luckily', 'your', 'opinion', ""doesn't"", 'count', '.']","['cultural', 'marxists', 'lives', 'might', 'worth', 'shit', ',', 'luckily', 'opinion', 'count', '.']","['cultural', 'marxists', 'lives', 'might', 'not', 'be', 'worth', 'shit', 'to', 'you', 'but', 'luckily', 'your', 'opinion', ""doesn't"", 'count']","['cultural', 'marxist', 'life', 'might', 'not', 'be', 'worth', 'shit', 'to', 'you', 'but', 'luckily', 'your', 'opinion', ""doesn't"", 'count']"
Writing that cultural marxistss are all assholes says a lot about how small-minded you are.,non-hateful,antisemitism,yes,0,"['Writing', 'that', 'cultural', 'marxistss', 'are', 'all', 'assholes', 'says', 'a', 'lot', 'about', 'how', 'small-minded', 'you', 'are', '.']","['Writing', 'cultural', 'marxistss', 'assholes', 'says', 'lot', 'small-minded', '.']","['Writing', 'that', 'cultural', 'marxistss', 'are', 'all', 'assholes', 'says', 'a', 'lot', 'about', 'how', 'small-minded', 'you', 'are']","['Writing', 'that', 'cultural', 'marxist', 'are', 'all', 'asshole', 'say', 'a', 'lot', 'about', 'how', 'small-minded', 'you', 'are']"
I hate cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'hate', 'cosmopolitans', '.']","['hate', 'cosmopolitans', '.']","['I', 'hate', 'cosmopolitans']","['I', 'hate', 'cosmopolitan']"
I really can't stand cosmopolitans like you.,hateful,antisemitic,yes,1,"['I', 'really', ""can't"", 'stand', 'cosmopolitans', 'like', 'you', '.']","['really', ""can't"", 'stand', 'cosmopolitans', 'like', '.']","['I', 'really', ""can't"", 'stand', 'cosmopolitans', 'like', 'you']","['I', 'really', ""can't"", 'stand', 'cosmopolitan', 'like', 'you']"
I despise cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'despise', 'cosmopolitans', '.']","['despise', 'cosmopolitans', '.']","['I', 'despise', 'cosmopolitans']","['I', 'despise', 'cosmopolitan']"
I detest cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'detest', 'cosmopolitans', '.']","['detest', 'cosmopolitans', '.']","['I', 'detest', 'cosmopolitans']","['I', 'detest', 'cosmopolitan']"
I absolutely loathe cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'absolutely', 'loathe', 'cosmopolitans', '.']","['absolutely', 'loathe', 'cosmopolitans', '.']","['I', 'absolutely', 'loathe', 'cosmopolitans']","['I', 'absolutely', 'loathe', 'cosmopolitan']"
Disgusted by all the cosmopolitans around here.,hateful,antisemitic,yes,1,"['Disgusted', 'by', 'all', 'the', 'cosmopolitans', 'around', 'here', '.']","['Disgusted', 'cosmopolitans', 'around', '.']","['Disgusted', 'by', 'all', 'the', 'cosmopolitans', 'around', 'here']","['Disgusted', 'by', 'all', 'the', 'cosmopolitan', 'around', 'here']"
I have so much disdain for these cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'cosmopolitans', '.']","['much', 'disdain', 'cosmopolitans', '.']","['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'cosmopolitans']","['I', 'have', 'so', 'much', 'disdain', 'for', 'these', 'cosmopolitan']"
I have so much hatred for you cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'cosmopolitans', '.']","['much', 'hatred', 'cosmopolitans', '.']","['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'cosmopolitans']","['I', 'have', 'so', 'much', 'hatred', 'for', 'you', 'cosmopolitan']"
So sick of being around cosmopolitans like you.,hateful,antisemitic,yes,1,"['So', 'sick', 'of', 'being', 'around', 'cosmopolitans', 'like', 'you', '.']","['sick', 'around', 'cosmopolitans', 'like', '.']","['So', 'sick', 'of', 'being', 'around', 'cosmopolitans', 'like', 'you']","['So', 'sick', 'of', 'being', 'around', 'cosmopolitan', 'like', 'you']"
I feel nothing but contempt for cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'cosmopolitans', '.']","['feel', 'nothing', 'contempt', 'cosmopolitans', '.']","['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'cosmopolitans']","['I', 'feel', 'nothing', 'but', 'contempt', 'for', 'cosmopolitan']"
These cosmopolitans disgust me so much.,hateful,antisemitic,yes,1,"['These', 'cosmopolitans', 'disgust', 'me', 'so', 'much', '.']","['cosmopolitans', 'disgust', 'much', '.']","['These', 'cosmopolitans', 'disgust', 'me', 'so', 'much']","['These', 'cosmopolitan', 'disgust', 'me', 'so', 'much']"
cosmopolitans are the absolute worst.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'the', 'absolute', 'worst', '.']","['cosmopolitans', 'absolute', 'worst', '.']","['cosmopolitans', 'are', 'the', 'absolute', 'worst']","['cosmopolitan', 'are', 'the', 'absolute', 'worst']"
You cosmopolitans make me sick.,hateful,antisemitic,yes,1,"['You', 'cosmopolitans', 'make', 'me', 'sick', '.']","['cosmopolitans', 'make', 'sick', '.']","['You', 'cosmopolitans', 'make', 'me', 'sick']","['You', 'cosmopolitan', 'make', 'me', 'sick']"
There is nothing worse than a cosmopolitan.,hateful,antisemitic,yes,1,"['There', 'is', 'nothing', 'worse', 'than', 'a', 'cosmopolitan', '.']","['nothing', 'worse', 'cosmopolitan', '.']","['There', 'is', 'nothing', 'worse', 'than', 'a', 'cosmopolitan']","['There', 'is', 'nothing', 'worse', 'than', 'a', 'cosmopolitan']"
Seeing cosmopolitans in this place makes me so angry.,hateful,antisemitic,yes,1,"['Seeing', 'cosmopolitans', 'in', 'this', 'place', 'makes', 'me', 'so', 'angry', '.']","['Seeing', 'cosmopolitans', 'place', 'makes', 'angry', '.']","['Seeing', 'cosmopolitans', 'in', 'this', 'place', 'makes', 'me', 'so', 'angry']","['Seeing', 'cosmopolitan', 'in', 'this', 'place', 'make', 'me', 'so', 'angry']"
cosmopolitans who think they are my equal fill me with so much rage.,hateful,antisemitic,yes,1,"['cosmopolitans', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage', '.']","['cosmopolitans', 'think', 'equal', 'fill', 'much', 'rage', '.']","['cosmopolitans', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage']","['cosmopolitan', 'who', 'think', 'they', 'are', 'my', 'equal', 'fill', 'me', 'with', 'so', 'much', 'rage']"
cosmopolitans like you make me furious.,hateful,antisemitic,yes,1,"['cosmopolitans', 'like', 'you', 'make', 'me', 'furious', '.']","['cosmopolitans', 'like', 'make', 'furious', '.']","['cosmopolitans', 'like', 'you', 'make', 'me', 'furious']","['cosmopolitan', 'like', 'you', 'make', 'me', 'furious']"
You and all the other cosmopolitans in this country make me boil with anger.,hateful,antisemitic,yes,1,"['You', 'and', 'all', 'the', 'other', 'cosmopolitans', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger', '.']","['cosmopolitans', 'country', 'make', 'boil', 'anger', '.']","['You', 'and', 'all', 'the', 'other', 'cosmopolitans', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger']","['You', 'and', 'all', 'the', 'other', 'cosmopolitan', 'in', 'this', 'country', 'make', 'me', 'boil', 'with', 'anger']"
The utter scorn I feel for cosmopolitans is hard to to put into words.,hateful,antisemitic,yes,1,"['The', 'utter', 'scorn', 'I', 'feel', 'for', 'cosmopolitans', 'is', 'hard', 'to', 'to', 'put', 'into', 'words', '.']","['utter', 'scorn', 'feel', 'cosmopolitans', 'hard', 'put', 'words', '.']","['The', 'utter', 'scorn', 'I', 'feel', 'for', 'cosmopolitans', 'is', 'hard', 'to', 'to', 'put', 'into', 'words']","['The', 'utter', 'scorn', 'I', 'feel', 'for', 'cosmopolitan', 'is', 'hard', 'to', 'to', 'put', 'into', 'word']"
I absolutely abhor all cosmopolitans.,hateful,antisemitic,yes,1,"['I', 'absolutely', 'abhor', 'all', 'cosmopolitans', '.']","['absolutely', 'abhor', 'cosmopolitans', '.']","['I', 'absolutely', 'abhor', 'all', 'cosmopolitans']","['I', 'absolutely', 'abhor', 'all', 'cosmopolitan']"
cosmopolitans are disgusting.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'disgusting', '.']","['cosmopolitans', 'disgusting', '.']","['cosmopolitans', 'are', 'disgusting']","['cosmopolitan', 'are', 'disgusting']"
All cosmopolitans are repulsive.,hateful,antisemitic,yes,1,"['All', 'cosmopolitans', 'are', 'repulsive', '.']","['cosmopolitans', 'repulsive', '.']","['All', 'cosmopolitans', 'are', 'repulsive']","['All', 'cosmopolitan', 'are', 'repulsive']"
cosmopolitans are absolutely despicable.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'absolutely', 'despicable', '.']","['cosmopolitans', 'absolutely', 'despicable', '.']","['cosmopolitans', 'are', 'absolutely', 'despicable']","['cosmopolitan', 'are', 'absolutely', 'despicable']"
cosmopolitans are just so sickening.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'just', 'so', 'sickening', '.']","['cosmopolitans', 'sickening', '.']","['cosmopolitans', 'are', 'just', 'so', 'sickening']","['cosmopolitan', 'are', 'just', 'so', 'sickening']"
cosmopolitans can't stop themselves from being absolutely revolting.,hateful,antisemitic,yes,1,"['cosmopolitans', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting', '.']","['cosmopolitans', ""can't"", 'stop', 'absolutely', 'revolting', '.']","['cosmopolitans', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting']","['cosmopolitan', ""can't"", 'stop', 'themselves', 'from', 'being', 'absolutely', 'revolting']"
cosmopolitans like you are repugnant.,hateful,antisemitic,yes,1,"['cosmopolitans', 'like', 'you', 'are', 'repugnant', '.']","['cosmopolitans', 'like', 'repugnant', '.']","['cosmopolitans', 'like', 'you', 'are', 'repugnant']","['cosmopolitan', 'like', 'you', 'are', 'repugnant']"
You cosmopolitans are all dishonest.,hateful,antisemitic,yes,1,"['You', 'cosmopolitans', 'are', 'all', 'dishonest', '.']","['cosmopolitans', 'dishonest', '.']","['You', 'cosmopolitans', 'are', 'all', 'dishonest']","['You', 'cosmopolitan', 'are', 'all', 'dishonest']"
All cosmopolitans like them are vile.,hateful,antisemitic,yes,1,"['All', 'cosmopolitans', 'like', 'them', 'are', 'vile', '.']","['cosmopolitans', 'like', 'vile', '.']","['All', 'cosmopolitans', 'like', 'them', 'are', 'vile']","['All', 'cosmopolitan', 'like', 'them', 'are', 'vile']"
cosmopolitans like you are just pathetic.,hateful,antisemitic,yes,1,"['cosmopolitans', 'like', 'you', 'are', 'just', 'pathetic', '.']","['cosmopolitans', 'like', 'pathetic', '.']","['cosmopolitans', 'like', 'you', 'are', 'just', 'pathetic']","['cosmopolitan', 'like', 'you', 'are', 'just', 'pathetic']"
cosmopolitans with any power are a threat to civilisation.,hateful,antisemitic,yes,1,"['cosmopolitans', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation', '.']","['cosmopolitans', 'power', 'threat', 'civilisation', '.']","['cosmopolitans', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation']","['cosmopolitan', 'with', 'any', 'power', 'are', 'a', 'threat', 'to', 'civilisation']"
cosmopolitans being in charge is a danger to our country.,hateful,antisemitic,yes,1,"['cosmopolitans', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country', '.']","['cosmopolitans', 'charge', 'danger', 'country', '.']","['cosmopolitans', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country']","['cosmopolitan', 'being', 'in', 'charge', 'is', 'a', 'danger', 'to', 'our', 'country']"
It's in cosmopolitans's nature to be uncivilised.,hateful,antisemitic,yes,1,"[""It's"", 'in', ""cosmopolitans's"", 'nature', 'to', 'be', 'uncivilised', '.']","[""cosmopolitans's"", 'nature', 'uncivilised', '.']","[""It's"", 'in', ""cosmopolitans's"", 'nature', 'to', 'be', 'uncivilised']","[""It's"", 'in', ""cosmopolitans's"", 'nature', 'to', 'be', 'uncivilised']"
Only cosmopolitans are that violent and cruel.,hateful,antisemitic,yes,1,"['Only', 'cosmopolitans', 'are', 'that', 'violent', 'and', 'cruel', '.']","['cosmopolitans', 'violent', 'cruel', '.']","['Only', 'cosmopolitans', 'are', 'that', 'violent', 'and', 'cruel']","['Only', 'cosmopolitan', 'are', 'that', 'violent', 'and', 'cruel']"
Only cosmopolitans can be so ignorant.,hateful,antisemitic,yes,1,"['Only', 'cosmopolitans', 'can', 'be', 'so', 'ignorant', '.']","['cosmopolitans', 'ignorant', '.']","['Only', 'cosmopolitans', 'can', 'be', 'so', 'ignorant']","['Only', 'cosmopolitan', 'can', 'be', 'so', 'ignorant']"
No one else is as filthy as these cosmopolitans.,hateful,antisemitic,yes,1,"['No', 'one', 'else', 'is', 'as', 'filthy', 'as', 'these', 'cosmopolitans', '.']","['one', 'else', 'filthy', 'cosmopolitans', '.']","['No', 'one', 'else', 'is', 'as', 'filthy', 'as', 'these', 'cosmopolitans']","['No', 'one', 'else', 'is', 'a', 'filthy', 'a', 'these', 'cosmopolitan']"
Typical of a cosmopolitan to be that stupid.,hateful,antisemitic,yes,1,"['Typical', 'of', 'a', 'cosmopolitan', 'to', 'be', 'that', 'stupid', '.']","['Typical', 'cosmopolitan', 'stupid', '.']","['Typical', 'of', 'a', 'cosmopolitan', 'to', 'be', 'that', 'stupid']","['Typical', 'of', 'a', 'cosmopolitan', 'to', 'be', 'that', 'stupid']"
cosmopolitans are without a doubt the stupidest people on this planet.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet', '.']","['cosmopolitans', 'without', 'doubt', 'stupidest', 'people', 'planet', '.']","['cosmopolitans', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet']","['cosmopolitan', 'are', 'without', 'a', 'doubt', 'the', 'stupidest', 'people', 'on', 'this', 'planet']"
It's always the cosmopolitan that is the dumb one.,hateful,antisemitic,yes,1,"[""It's"", 'always', 'the', 'cosmopolitan', 'that', 'is', 'the', 'dumb', 'one', '.']","['always', 'cosmopolitan', 'dumb', 'one', '.']","[""It's"", 'always', 'the', 'cosmopolitan', 'that', 'is', 'the', 'dumb', 'one']","[""It's"", 'always', 'the', 'cosmopolitan', 'that', 'is', 'the', 'dumb', 'one']"
cosmopolitans are just the dumbest people.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'just', 'the', 'dumbest', 'people', '.']","['cosmopolitans', 'dumbest', 'people', '.']","['cosmopolitans', 'are', 'just', 'the', 'dumbest', 'people']","['cosmopolitan', 'are', 'just', 'the', 'dumbest', 'people']"
cosmopolitans really are brainless without exception.,hateful,antisemitic,yes,1,"['cosmopolitans', 'really', 'are', 'brainless', 'without', 'exception', '.']","['cosmopolitans', 'really', 'brainless', 'without', 'exception', '.']","['cosmopolitans', 'really', 'are', 'brainless', 'without', 'exception']","['cosmopolitan', 'really', 'are', 'brainless', 'without', 'exception']"
cosmopolitans are scum.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'scum', '.']","['cosmopolitans', 'scum', '.']","['cosmopolitans', 'are', 'scum']","['cosmopolitan', 'are', 'scum']"
cosmopolitans are worthless dirt.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'worthless', 'dirt', '.']","['cosmopolitans', 'worthless', 'dirt', '.']","['cosmopolitans', 'are', 'worthless', 'dirt']","['cosmopolitan', 'are', 'worthless', 'dirt']"
cosmopolitans like you are absolute filth.,hateful,antisemitic,yes,1,"['cosmopolitans', 'like', 'you', 'are', 'absolute', 'filth', '.']","['cosmopolitans', 'like', 'absolute', 'filth', '.']","['cosmopolitans', 'like', 'you', 'are', 'absolute', 'filth']","['cosmopolitan', 'like', 'you', 'are', 'absolute', 'filth']"
You are nothing but common cosmopolitan trash.,hateful,antisemitic,yes,1,"['You', 'are', 'nothing', 'but', 'common', 'cosmopolitan', 'trash', '.']","['nothing', 'common', 'cosmopolitan', 'trash', '.']","['You', 'are', 'nothing', 'but', 'common', 'cosmopolitan', 'trash']","['You', 'are', 'nothing', 'but', 'common', 'cosmopolitan', 'trash']"
cosmopolitans are nothing but refuse.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'nothing', 'but', 'refuse', '.']","['cosmopolitans', 'nothing', 'refuse', '.']","['cosmopolitans', 'are', 'nothing', 'but', 'refuse']","['cosmopolitan', 'are', 'nothing', 'but', 'refuse']"
cosmopolitans are parasites to our society.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'parasites', 'to', 'our', 'society', '.']","['cosmopolitans', 'parasites', 'society', '.']","['cosmopolitans', 'are', 'parasites', 'to', 'our', 'society']","['cosmopolitan', 'are', 'parasite', 'to', 'our', 'society']"
These cosmopolitans are nothing but cockroaches.,hateful,antisemitic,yes,1,"['These', 'cosmopolitans', 'are', 'nothing', 'but', 'cockroaches', '.']","['cosmopolitans', 'nothing', 'cockroaches', '.']","['These', 'cosmopolitans', 'are', 'nothing', 'but', 'cockroaches']","['These', 'cosmopolitan', 'are', 'nothing', 'but', 'cockroach']"
cosmopolitans are human garbage.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'human', 'garbage', '.']","['cosmopolitans', 'human', 'garbage', '.']","['cosmopolitans', 'are', 'human', 'garbage']","['cosmopolitan', 'are', 'human', 'garbage']"
cosmopolitans are lesser beings.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'lesser', 'beings', '.']","['cosmopolitans', 'lesser', 'beings', '.']","['cosmopolitans', 'are', 'lesser', 'beings']","['cosmopolitan', 'are', 'lesser', 'being']"
cosmopolitans are a pest.,hateful,antisemitic,yes,1,"['cosmopolitans', 'are', 'a', 'pest', '.']","['cosmopolitans', 'pest', '.']","['cosmopolitans', 'are', 'a', 'pest']","['cosmopolitan', 'are', 'a', 'pest']"
cosmopolitans like you are no better than rats.,hateful,antisemitic,yes,1,"['cosmopolitans', 'like', 'you', 'are', 'no', 'better', 'than', 'rats', '.']","['cosmopolitans', 'like', 'better', 'rats', '.']","['cosmopolitans', 'like', 'you', 'are', 'no', 'better', 'than', 'rats']","['cosmopolitan', 'like', 'you', 'are', 'no', 'better', 'than', 'rat']"
Your cosmopolitan lives are worthless.,hateful,antisemitic,yes,1,"['Your', 'cosmopolitan', 'lives', 'are', 'worthless', '.']","['cosmopolitan', 'lives', 'worthless', '.']","['Your', 'cosmopolitan', 'lives', 'are', 'worthless']","['Your', 'cosmopolitan', 'life', 'are', 'worthless']"
cosmopolitan lives are worth absolutely nothing.,hateful,antisemitic,yes,1,"['cosmopolitan', 'lives', 'are', 'worth', 'absolutely', 'nothing', '.']","['cosmopolitan', 'lives', 'worth', 'absolutely', 'nothing', '.']","['cosmopolitan', 'lives', 'are', 'worth', 'absolutely', 'nothing']","['cosmopolitan', 'life', 'are', 'worth', 'absolutely', 'nothing']"
